Ability | Noun | Способность | B1  
Absent | Adjective | Отсутствующий | B1  
Accept | Verb | Принимать | B1  
Accomplish | Verb | Выполнять | B1  
Account | Noun | Счёт | B1  
Accurate | Adjective | Точный | B1  
Achieve | Verb | Достигать | B1  
Adapt | Verb | Адаптироваться | B1  
Admire | Verb | Восхищаться | B1  
Admit | Verb | Признавать | B1  
Advantage | Noun | Преимущество | B1  
Advice | Noun | Совет | B1  
Affect | Verb | Влиять | B1  
Afford | Verb | Позволять себе | B1  
Agreement | Noun | Соглашение | B1  
Aim | Noun | Цель | B1  
Allow | Verb | Разрешать | B1  
Amazed | Adjective | Поражённый | B1  
Ambitious | Adjective | Амбициозный | B1  
Amount | Noun | Количество | B1  
Amusing | Adjective | Забавный | B1  
Analyze | Verb | Анализировать | B1  
Annoy | Verb | Раздражать | B1  
Anxious | Adjective | Тревожный | B1  
Apologize | Verb | Извиняться | B1  
Appear | Verb | Появляться | B1  
Apply | Verb | Подавать заявку | B1  
Appreciate | Verb | Ценить | B1  
Approach | Verb | Приближаться | B1  
Argue | Verb | Спорить | B1  
Arrange | Verb | Организовывать | B1  
Arrival | Noun | Прибытие | B1  
Artificial | Adjective | Искусственный | B1  
Aspect | Noun | Аспект | B1  
Assist | Verb | Помогать | B1  
Assume | Verb | Предполагать | B1  
Athlete | Noun | Спортсмен | B1  
Attach | Verb | Прикреплять | B1  
Attitude | Noun | Отношение | B1  
Attract | Verb | Привлекать | B1  
Average | Adjective | Средний | B1  
Avoid | Verb | Избегать | B1  
Aware | Adjective | Осведомлённый | B1  
Balance | Noun | Баланс | B1  
Ban | Verb | Запрещать | B1  
Base | Noun | Основа | B1  
Basic | Adjective | Основной | B1  
Battle | Noun | Битва | B1  
Bear | Verb | Выносить | B1  
Beat | Verb | Победить | B1  
Behave | Verb | Вести себя | B1  
Belief | Noun | Вера | B1  
Belong | Verb | Принадлежать | B1  
Benefit | Noun | Польза | B1  
Betray | Verb | Предавать | B1  
Blame | Verb | Винить | B1  
Bold | Adjective | Смелый | B1  
Bother | Verb | Беспокоить | B1  
Branch | Noun | Ветка | B1  
Brave | Adjective | Храбрый | B1  
Breathe | Verb | Дышать | B1  
Brief | Adjective | Краткий | B1  
Brighten | Verb | Освещать | B1  
Broad | Adjective | Широкий | B1  
Burst | Verb | Лопнуть | B1  
Calculate | Verb | Вычислять | B1  
Calm | Adjective | Спокойный | B1  
Cancel | Verb | Отменять | B1  
Capable | Adjective | Способный | B1  
Capture | Verb | Захватывать | B1  
Care | Noun | Забота | B1  
Cause | Noun | Причина | B1  
Celebrate | Verb | Праздновать | B1  
Challenge | Noun | Вызов | B1  
Character | Noun | Характер | B1  
Charge | Verb | Заряжать | B1  
Cheerful | Adjective | Весёлый | B1  
Chief | Adjective | Главный | B1  
Circumstance | Noun | Обстоятельство | B1  
Claim | Verb | Утверждать | B1  
Clear | Adjective | Ясный | B1  
Clever | Adjective | Умный | B1  
Climate | Noun | Климат | B1  
Close | Verb | Закрывать | B1  
Clue | Noun | Подсказка | B1  
Collect | Verb | Собирать | B1  
Combine | Verb | Объединять | B1  
Comfort | Noun | Утешение | B1  
Command | Noun | Команда | B1  
Comment | Noun | Комментарий | B1  
Communicate | Verb | Общаться | B1  
Compare | Verb | Сравнивать | B1  
Compete | Verb | Соревноваться | B1  
Complain | Verb | Жаловаться | B1  
Complete | Adjective | Полный | B1  
Complex | Adjective | Сложный | B1  
Concentrate | Verb | Концентрироваться | B1  
Concern | Noun | Беспокойство | B1  
Conclusion | Noun | Вывод | B1  
Condition | Noun | Условие | B1  
Confident | Adjective | Уверенный | B1  
Confirm | Verb | Подтверждать | B1  
Conflict | Noun | Конфликт | B1  
Confuse | Verb | Путать | B1  
Connect | Verb | Соединять | B1  
Consequence | Noun | Последствие | B1  
Consider | Verb | Рассматривать | B1  
Consist | Verb | Состоять | B1  
Construct | Verb | Строить | B1  
Contain | Verb | Содержать | B1  
Content | Noun | Содержание | B1  
Continue | Verb | Продолжать | B1  
Contribute | Verb | Вносить вклад | B1  
Control | Verb | Контролировать | B1  
Convince | Verb | Убеждать | B1  
Cooperation | Noun | Сотрудничество | B1  
Correct | Adjective | Правильный | B1  
Courage | Noun | Мужество | B1  
Create | Verb | Создавать | B1  
Crime | Noun | Преступление | B1  
Critical | Adjective | Критический | B1  
Cruel | Adjective | Жестокий | B1  
Culture | Noun | Культура | B1  
Curious | Adjective | Любопытный | B1  
Current | Adjective | Текущий | B1  
Damage | Noun | Ущерб | B1  
Danger | Noun | Опасность | B1  
Dare | Verb | Осмеливаться | B1  
Debate | Noun | Дебаты | B1  
Decent | Adjective | Приличный | B1  
Decision | Noun | Решение | B1  
Declare | Verb | Объявлять | B1  
Decrease | Verb | Уменьшать | B1  
Defeat | Verb | Побеждать | B1  
Defend | Verb | Защищать | B1  
Define | Verb | Определять | B1  
Deliver | Verb | Доставлять | B1  
Demand | Verb | Требовать | B1  
Deny | Verb | Отрицать | B1  
Depend | Verb | Зависеть | B1  
Describe | Verb | Описывать | B1  
Deserve | Verb | Заслуживать | B1  
Design | Verb | Проектировать | B1  
Desire | Noun | Желание | B1  
Destroy | Verb | Уничтожать | B1  
Detail | Noun | Деталь | B1  
Determine | Verb | Определять | B1  
Develop | Verb | Развивать | B1  
Device | Noun | Устройство | B1  
Devote | Verb | Посвящать | B1  
Difference | Noun | Разница | B1  
Difficult | Adjective | Трудный | B1  
Direct | Adjective | Прямой | B1  
Disappear | Verb | Исчезать | B1  
Disappoint | Verb | Разочаровывать | B1  
Disaster | Noun | Катастрофа | B1  
Discover | Verb | Открывать | B1  
Discuss | Verb | Обсуждать | B1  
Disease | Noun | Болезнь | B1  
Dislike | Verb | Не любить | B1  
Distance | Noun | Расстояние | B1  
Distribute | Verb | Распределять | B1  
Divide | Verb | Делить | B1  
Doubt | Noun | Сомнение | B1  
Dramatic | Adjective | Драматический | B1  
Draw | Verb | Рисовать | B1  
Dream | Noun | Мечта | B1  
Duty | Noun | Обязанность | B1  
Eager | Adjective | Стремящийся | B1  
Earn | Verb | Зарабатывать | B1  
Effect | Noun | Эффект | B1  
Effort | Noun | Усилие | B1  
Elect | Verb | Избирать | B1  
Element | Noun | Элемент | B1  
Emotion | Noun | Эмоция | B1  
Emphasize | Verb | Подчёркивать | B1  
Employ | Verb | Нанимать | B1  
Encourage | Verb | Поощрять | B1  
Energy | Noun | Энергия | B1  
Engage | Verb | Заниматься | B1  
Enhance | Verb | Улучшать | B1  
Enjoy | Verb | Наслаждаться | B1  
Enormous | Adjective | Огромный | B1  
Enough | Adjective | Достаточно | B1  
Ensure | Verb | Гарантировать | B1  
Entertain | Verb | Развлекать | B1  
Entire | Adjective | Весь | B1  
Environment | Noun | Окружение | B1  
Equal | Adjective | Равный | B1  
Equipment | Noun | Оборудование | B1  
Escape | Verb | Сбегать | B1  
Especially | Ad Verb | Особенно | B1  
Essential | Adjective | Существенный | B1  
Establish | Verb | Устанавливать | B1  
Estimate | Verb | Оценивать | B1  
Event | Noun | Событие | B1  
Evidence | Noun | Доказательство | B1  
Exact | Adjective | Точный | B1  
Examine | Verb | Исследовать | B1  
Example | Noun | Пример | B1  
Exchange | Verb | Обменивать | B1  
Excited | Adjective | Взволнованный | B1  
Exclude | Verb | Исключать | B1  
Excuse | Noun | Извинение | B1  
Exercise | Noun | Упражнение | B1  
Exist | Verb | Существовать | B1  
Expand | Verb | Расширять | B1  
Expect | Verb | Ожидать | B1  
Expense | Noun | Расход | B1  
Experience | Noun | Опыт | B1  
Expert | Noun | Эксперт | B1  
Explain | Verb | Объяснять | B1  
