Abandon | Verb | оставлять, покидать | C1  
Aberration |  Noun | отклонение, аномалия | C1  
Abhor | Verb | питать отвращение | C1  
Abrasive | Adjective | резкий, грубый (о человеке) | C1  
Abstain | Verb | воздерживаться | C1  
Accolade |  Noun | награда, признание | C1  
Acquiesce | Verb | молча соглашаться | C1  
Acrimonious | Adjective | язвительный, едкий | C1  
Adamant | Adjective | непреклонный | C1  
Adept | Adjective | искусный, опытный | C1  
Adulation |  Noun | лесть, восхваление | C1  
Adversity |  Noun | невзгоды, трудности | C1  
Aesthetic | Adjective | эстетический | C1  
Affluent | Adjective | состоятельный | C1  
Aggravate | Verb | усугублять | C1  
Alacrity |  Noun | живость, готовность | C1  
Alienate | Verb | отчуждать | C1  
Allegation |  Noun | утверждение, обвинение | C1  
Allocate | Verb | выделять, распределять | C1  
Altruistic | Adjective | альтруистический | C1  
Ambiguous | Adjective | двусмысленный | C1  
Ameliorate | Verb | улучшать | C1  
Anomaly |  Noun | аномалия | C1  
Antagonize | Verb | antagonize | C1  
Aplomb |  Noun | самоуверенность | C1  
Apprehensive | Adjective | опасающийся | C1  
Arduous | Adjective | трудный, тяжёлый | C1  
Articulate | Verb | чётко выражать | C1  
Ascertain | Verb | удостовериться | C1  
Assiduous | Adjective | усердный | C1  
Astute | Adjective | проницательный | C1  
Atrocity |  Noun | зверство | C1  
Augment | Verb | увеличивать | C1  
Austere | Adjective | строгий, аскетичный | C1  
Authenticate | Verb | подтверждать подлинность | C1  
Aversion |  Noun | отвращение | C1  
Banal | Adjective | банальный | C1  
Belligerent | Adjective | воинственный | C1  
Benevolent | Adjective | доброжелательный | C1  
Bequeath | Verb | завещать | C1  
Berate | Verb | ругать | C1  
Bilk | Verb | обманывать | C1  
Bland | Adjective | пресный, невыразительный | C1  
Blatant | Adjective | вопиющий | C1  
Blight |  Noun | бедствие | C1  
Bolster | Verb | поддерживать | C1  
Bombastic | Adjective | напыщенный | C1  
Boon |  Noun | благодеяние | C1  
Brevity |  Noun | краткость | C1  
Brusque | Adjective | резкий | C1  
Burgeon | Verb | разрастаться | C1  
Cajole | Verb | уговаривать | C1  
Callous | Adjective | бесчувственный | C1  
Candor |  Noun | откровенность | C1  
Capricious | Adjective | капризный | C1  
Cascade |  Noun | каскад | C1  
Catalyst |  Noun | катализатор | C1  
Caustic | Adjective | едкий | C1  
Censure | Verb | порицать | C1  
Chastise | Verb | наказывать | C1  
Circumvent | Verb | обходить | C1  
Clairvoyant | Adjective | ясновидящий | C1  
Clamor |  Noun | шум | C1  
Clandestine | Adjective | тайный | C1  
Coalesce | Verb | объединяться | C1  
Cogent | Adjective | убедительный | C1  
Collusion |  Noun | сговор | C1  
Commodious | Adjective | просторный | C1  
Complacent | Adjective | самодовольный | C1  
Conflagration |  Noun | пожар | C1  
Congenial | Adjective | приятный (о человеке) | C1  
Connoisseur |  Noun | знаток | C1  
Conundrum |  Noun | головоломка | C1  
Copious | Adjective | обильный | C1  
Corroborate | Verb | подтверждать | C1  
Credulous | Adjective | доверчивый | C1  
Culpable | Adjective | виновный | C1  
Cursory | Adjective | беглый | C1  
Daunting | Adjective | пугающий | C1  
Dearth |  Noun | недостаток | C1  
Debacle |  Noun | провал | C1  
Debilitate | Verb | ослаблять | C1  
Decry | Verb | осуждать | C1  
Deferential | Adjective | почтительный | C1  
Defunct | Adjective | несуществующий | C1  
Deleterious | Adjective | вредный | C1  
Demagogue |  Noun | демагог | C1  
Denigrate | Verb | порочить | C1  
Deride | Verb | высмеивать | C1  
Desecrate | Verb | осквернять | C1  
Despondent | Adjective | подавленный | C1  
Diatribe |  Noun | разглагольствование | C1  
Dichotomy |  Noun | дихотомия | C1  
Didactic | Adjective | поучительный | C1  
Diffident | Adjective | неуверенный | C1  
Disconcerting | Adjective | смущающий | C1  
Disdain |  Noun | презрение | C1  
Disparate | Adjective | различный | C1  
Disseminate | Verb | распространять | C1  
Divulge | Verb | разглашать | C1  
Dogmatic | Adjective | догматичный | C1  
Dubious | Adjective | сомнительный | C1  
Ebullient | Adjective | восторженный | C1  
Eccentric | Adjective | эксцентричный | C1  
Egregious | Adjective | вопиющий | C1  
Elucidate | Verb | разъяснять | C1  
Embellish | Verb | приукрашивать | C1  
Empirical | Adjective | эмпирический | C1  
Enervate | Verb | изнурять | C1  
Enigma |  Noun | загадка | C1  
Ephemeral | Adjective | мимолётный | C1  
Equanimity |  Noun | хладнокровие | C1  
Esoteric | Adjective | эзотерический | C1  
Euphemism |  Noun | эвфемизм | C1  
Exacerbate | Verb | усугублять | C1  
Exemplary | Adjective | образцовый | C1  
Exhort | Verb | призывать | C1  
Exonerate | Verb | оправдывать | C1  
Expedite | Verb | ускорять | C1  
Extol | Verb | восхвалять | C1  
Fastidious | Adjective | привередливый | C1  
Fathom | Verb | постигать | C1  
Fervent | Adjective | пылкий | C1  
Fickle | Adjective | непостоянный | C1  
Flippant | Adjective | легкомысленный | C1  
Florid | Adjective | цветистый | C1  
Foment | Verb | разжигать | C1  
Forsake | Verb | покидать | C1  
Fortuitous | Adjective | случайный | C1  
Fractious | Adjective | сварливый | C1  
Garrulous | Adjective | болтливый | C1  
Germane | Adjective | уместный | C1  
Grandiose | Adjective | грандиозный | C1  
Gratuitous | Adjective | беспричинный | C1  
Gregarious | Adjective | общительный | C1  
Hackneyed | Adjective | избитый | C1  
Hapless | Adjective | неудачливый | C1  
Harangue |  Noun | тирада | C1  
Hedonist |  Noun | гедонист | C1  
Hiatus |  Noun | перерыв | C1  
Iconoclast |  Noun | иконоборец | C1  
Idiosyncratic | Adjective | своеобразный | C1  
Impecunious | Adjective | безденежный | C1  
Impetuous | Adjective | порывистый | C1  
Impinge | Verb | вторгаться | C1  
Implacable | Adjective | непримиримый | C1  
Inadvertent | Adjective | непреднамеренный | C1  
Incessant | Adjective | непрекращающийся | C1  
Incontrovertible | Adjective | неопровержимый | C1  
Incumbent | Adjective | обязательный | C1  
Ineffable | Adjective | невыразимый | C1  
Inexorable | Adjective | неумолимый | C1  
Ingenious | Adjective | изобретательный | C1  
Innate | Adjective | врождённый | C1  
Insidious | Adjective | коварный | C1  
Insipid | Adjective | безвкусный | C1  
Intransigent | Adjective | непримиримый | C1  
Inundate | Verb | затоплять | C1  
Irascible | Adjective | вспыльчивый | C1  
Jubilant | Adjective | ликующий | C1  
Juxtapose | Verb | сопоставлять | C1  
Languid | Adjective | вялый | C1  
Larceny |  Noun | кража | C1  
Lavish | Adjective | роскошный | C1  
Lethargic | Adjective | вялый | C1  
Loquacious | Adjective | разговорчивый | C1  
Lucrative | Adjective | прибыльный | C1  
Magnanimous | Adjective | великодушный | C1  
Malaise |  Noun | недомогание | C1  
Malleable | Adjective | податливый | C1  
Maverick |  Noun | индивидуалист | C1  
Meticulous | Adjective | дотошный | C1  
Misconstrue | Verb | неправильно истолковывать | C1  
Mitigate | Verb | смягчать | C1  
Mollify | Verb | успокаивать | C1  
Morose | Adjective | угрюмый | C1  
Myriad |  Noun | множество | C1  
Nebulous | Adjective | туманный | C1  
Nefarious | Adjective | зловещий | C1  
Negligible | Adjective | незначительный | C1  
Nonchalant | Adjective | беспечный | C1  
Nuance |  Noun | нюанс | C1  
Obdurate | Adjective | упрямый | C1  
Obfuscate | Verb | запутывать | C1  
Oblivious | Adjective | забывчивый | C1  
Obsequious | Adjective | угодливый | C1  
Ominous | Adjective | зловещий | C1  
Ostentatious | Adjective | показной | C1  
Paragon |  Noun | образец | C1  
Paucity |  Noun | недостаток | C1  
Pejorative | Adjective | уничижительный | C1  
Perfunctory | Adjective | поверхностный | C1  
Pernicious | Adjective | пагубный | C1  
Perspicacious | Adjective | проницательный | C1  
Placate | Verb | умиротворять | C1  
Pragmatic | Adjective | прагматичный | C1  
Precarious | Adjective | ненадёжный | C1  
Precipitate | Verb | ускорять | C1  
Proclivity |  Noun | склонность | C1  
Profligate | Adjective | расточительный | C1  
Prolific | Adjective | плодовитый | C1  
Prudent | Adjective | благоразумный | C1  
Pugnacious | Adjective | драчливый | C1  
Quandary |  Noun | затруднительное положение | C1  
Quell | Verb | подавлять | C1  
Quixotic | Adjective | мечтательный | C1  
Recalcitrant | Adjective | непокорный | C1  
Reclusive | Adjective | затворнический | C1  
Recumbent | Adjective | лежачий | C1  
Redundant | Adjective | избыточный | C1  
Refute | Verb | опровергать | C1  
Reprehensible | Adjective | предосудительный | C1  
Repudiate | Verb | отвергать | C1  
Resilient | Adjective | устойчивый | C1  
Reticent | Adjective | сдержанный | C1  
Revere | Verb | почитать | C1  
Sagacious | Adjective | мудрый | C1  
Salient | Adjective | заметный | C1  
Scintillating | Adjective | искромётный | C1  
Scrupulous | Adjective | добросовестный | C1  
Serendipity |  Noun | случайная находка | C1  
Spurious | Adjective | ложный | C1  
Squander | Verb | растрачивать | C1  
Stoic | Adjective | стоический | C1  
Substantiate | Verb | подтверждать | C1  
Superfluous | Adjective | излишний | C1  
Sycophant |  Noun | подхалим | C1  
Taciturn | Adjective | молчаливый | C1  
Tenacious | Adjective | упорный | C1  
Trepidation |  Noun | трепет | C1  
Ubiquitous | Adjective | вездесущий | C1  
Uncanny | Adjective | сверхъестественный | C1  
Unfathomable | Adjective | непостижимый | C1  
Unprecedented | Adjective | беспрецедентный | C1  
Unwitting | Adjective | непреднамеренный | C1  
Vacillate | Verb | колебаться | C1  
Venerate | Verb | почитать | C1  
Veracious | Adjective | правдивый | C1  
Verbose | Adjective | многословный | C1  
Vex | Verb | раздражать | C1  
Vilify | Verb | порочить | C1  
Vindicate | Verb | оправдывать | C1  
Wary | Adjective | осторожный | C1  
Whimsical | Adjective | причудливый | C1  
Zealous | Adjective | ревностный | C1
