 Abstruse | Adjective | Заумный, трудный для понимания | C2
Accolade | Noun | Знак одобрения, награда | C2
Acrimonious | Adjective | Язвительный, едкий | C2
Adumbrate | Verb | Обрисовывать в общих чертах | C2
Alacrity | Noun | Живость, готовность | C2
Anathema | Noun | Предмет ненависти, проклятие | C2
Antediluvian | Adjective | Допотопный, устаревший | C2
Aplomb | Noun | Самоуверенность, хладнокровие | C2
Apogee | Noun | Апогей, высшая точка | C2
Approbation | Noun | Одобрение, санкция | C2
Arrant | Adjective | Беспросветный, отъявленный | C2
Ascetic | Noun | Аскет | C2
Asperity | Noun | Шероховатость, резкость | C2
Assiduous | Adjective | Усердный, старательный | C2
Atavistic | Adjective | Атавистический | C2
Bailiwick | Noun | Сфера компетенции | C2
Bard | Noun | Бард, поэт | C2
Batten | Verb | Жирнеть, процветать | C2
Beatific | Adjective | Блаженный | C2
Bedizen | Verb | Украшать безвкусно | C2
Behemoth | Noun | Исполин, гигант | C2
Belabor | Verb | Утомительно обсуждать | C2
Belligerent | Adjective | Воинственный | C2
Bilious | Adjective | Раздражительный | C2
Bivouac | Noun | Бивак, лагерь | C2
Blandishment | Noun | Лесть, уговоры | C2
Boorish | Adjective | Грубый, неотёсанный | C2
Broach | Verb | Заводить разговор | C2
Bucolic | Adjective | Пасторальный | C2
Cajole | Verb | Уговаривать, льстить | C2
Callous | Adjective | Бесчувственный | C2
Captious | Adjective | Придирчивый | C2
Carom | Verb | Сталкиваться, рикошетить | C2
Castigate | Verb | Строго наказывать | C2
Cataclysm | Noun | Катаклизм | C2
Chary | Adjective | Осторожный, скупой | C2
Chicanery | Noun | Крючкотворство | C2
Chimerical | Adjective | Фантастический | C2
Churlish | Adjective | Грубый, невежливый | C2
Clemency | Noun | Милосердие, снисхождение | C2
Cogent | Adjective | Убедительный | C2
Comity | Noun | Вежливость, учтивость | C2
Conflagration | Noun | Пожар, возгорание | C2
Construe | Verb | Толковать, интерпретировать | C2
Contrite | Adjective | Раскаивающийся | C2
Contumacious | Adjective | Упрямый, непокорный | C2
Convivial | Adjective | Общительный, весёлый | C2
Corpulent | Adjective | Тучный | C2
Coterie | Noun | Кружок, группа | C2
Countenance | Verb | Одобрять, поддерживать | C2
Covenant | Noun | Договор, соглашение | C2
Cower | Verb | Съёживаться от страха | C2
Crapulous | Adjective | Похмельный, разгульный | C2
Credence | Noun | Доверие, вера | C2
Crepuscular | Adjective | Сумеречный | C2
Culpable | Adjective | Виноватый | C2
Dalliance | Noun | Флирт, заигрывание | C2
Dastardly | Adjective | Подлый, трусливый | C2
Daunt | Verb | Устрашать | C2
Dearth | Noun | Недостаток, нехватка | C2
Debacle | Noun | Разгром, крах | C2
Decry | Verb | Осудить, раскритиковать | C2
Deleterious | Adjective | Вредный, губительный | C2
Demagogue | Noun | Демагог | C2
Denouement | Noun | Развязка | C2
Deprecate | Verb | Осудить, не одобрять | C2
Derelict | Adjective | Заброшенный | C2
Desecrate | Verb | Осквернять | C2
Desiccated | Adjective | Обезвоженный | C2
Desultory | Adjective | Бессистемный | C2
Diatribe | Noun | Гневная речь | C2
Didactic | Adjective | Поучительный | C2
Diffident | Adjective | Неуверенный | C2
Disabuse | Verb | Разочаровать | C2
Discomfit | Verb | Смущать | C2
Disparate | Adjective | Разнородный | C2
Dissemble | Verb | Скрывать, притворяться | C2
Disseminate | Verb | Распространять | C2
Dissolution | Noun | Распад, разложение | C2
Dissonant | Adjective | Диссонирующий | C2
Distaff | Adjective | Женский | C2
Dither | Verb | Колебаться | C2
Doggerel | Noun | Дурные стихи | C2
Doughty | Adjective | Доблестный | C2
Droll | Adjective | Забавный | C2
Duress | Noun | Принуждение | C2
Ebullient | Adjective | Восторженный | C2
Echelon | Noun | Эшелон, уровень | C2
Eclat | Noun | Блеск, успех | C2
Edify | Verb | Назидать | C2
Effervescent | Adjective | Искрящийся | C2
Effrontery | Noun | Наглость | C2
Egregious | Adjective | Возмутительный | C2
Elucidate | Verb | Разъяснять | C2
Emollient | Adjective | Смягчающий | C2
Encomium | Noun | Панегирик | C2
Enervate | Verb | Истощать | C2
Ennui | Noun | Тоска, скука | C2
Ephemeral | Adjective | Мимолётный | C2
Epicurean | Adjective | Эпикурейский | C2
Epistemology | Noun | Теория познания | C2
Equanimity | Noun | Хладнокровие | C2
Erudite | Adjective | Эрудированный | C2
Eschew | Verb | Избегать | C2
Esoteric | Adjective | Эзотерический | C2
Evanescent | Adjective | Исчезающий | C2
Excoriate | Verb | Критиковать | C2
Execrable | Adjective | Отвратительный | C2
Exegesis | Noun | Толкование | C2
Exhort | Verb | Убеждать | C2
Exigent | Adjective | Настоятельный | C2
Expiate | Verb | Искупать | C2
Expunge | Verb | Удалять | C2
Extemporaneous | Adjective | Импровизированный | C2
Extirpate | Verb | Искоренять | C2
Extrapolate | Verb | Экстраполировать | C2
Facetious | Adjective | Шутливый | C2
Fallacious | Adjective | Ложный | C2
Fastidious | Adjective | Привередливый | C2
Fatuous | Adjective | Глупый | C2
Feckless | Adjective | Безответственный | C2
Fecund | Adjective | Плодовитый | C2
Feign | Verb | Притворяться | C2
Felicitous | Adjective | Удачный | C2
Fervid | Adjective | Пылкий | C2
Fetid | Adjective | Зловонный | C2
Fetter | Verb | Оковывать | C2
Filibuster | Noun | Обструкция | C2
Florid | Adjective | Витиеватый | C2
Foible | Noun | Слабость | C2
Foment | Verb | Подстрекать | C2
Forbearance | Noun | Терпение | C2
Fortuitous | Adjective | Случайный | C2
Fractious | Adjective | Сварливый | C2
Froward | Adjective | Упрямый | C2
Fulminate | Verb | Громко протестовать | C2
Fulsome | Adjective | Чрезмерный | C2
Gainsay | Verb | Оспаривать | C2
Garrulous | Adjective | Болтливый | C2
Germane | Adjective | Уместный | C2
Grandiloquent | Adjective | Высокопарный | C2
Gratuitous | Adjective | Беспричинный | C2
Gregarious | Adjective | Общительный | C2
Hackneyed | Adjective | Избитый | C2
Halcyon | Adjective | Безмятежный | C2
Harangue | Noun | Гневная речь | C2
Harbinger | Noun | Предвестник | C2
Haughty | Adjective | Надменный | C2
Hegemony | Noun | Гегемония | C2
Hermetic | Adjective | Герметичный | C2
Heterodox | Adjective | Еретический | C2
Hiatus | Noun | Перерыв | C2
Hobnob | Verb | Водить дружбу | C2
Hoi polloi | Noun | Простолюдины | C2
Homily | Noun | Проповедь | C2
Hubris | Noun | Высокомерие | C2
